id,branch_id:id,code,type,name,default_debit_account_id:id,default_credit_account_id:id,user_id:id,sequence_id:id
journal_wo_reg_branch_ddg,wtc_branch.branch_ddg,WKDDG,sale,Journal WO Reguler DDG,,,,
journal_wo_reg_branch_ddm,wtc_branch.branch_ddm,WKDDM,sale,Journal WO Reguler DDM,,,,
journal_wo_reg_branch_ddj,wtc_branch.branch_ddj,WKDDJ,sale,Journal WO Reguler DDJ,,,,
journal_wo_reg_branch_ddt,wtc_branch.branch_ddt,WKDDT,sale,Journal WO Reguler DDT,,,,
journal_wo_reg_branch_ddi,wtc_branch.branch_ddi,WKDDI,sale,Journal WO Reguler DDI,,,,
journal_wo_reg_branch_dxk,wtc_branch.branch_dxk,WKDXK,sale,Journal WO Reguler DXK,,,,
journal_wo_reg_branch_dxt,wtc_branch.branch_dxt,WKDXT,sale,Journal WO Reguler DXT,,,,
journal_wo_reg_branch_dxs,wtc_branch.branch_dxs,WKDXS,sale,Journal WO Reguler DXS,,,,
journal_wo_reg_branch_dxg,wtc_branch.branch_dxg,WKDXG,sale,Journal WO Reguler DXG,,,,
journal_wo_reg_branch_dxb,wtc_branch.branch_dxb,WKDXB,sale,Journal WO Reguler DXB,,,,
journal_wo_reg_branch_dxn,wtc_branch.branch_dxn,WKDXN,sale,Journal WO Reguler DXN,,,,
journal_wo_reg_branch_dwt,wtc_branch.branch_dwt,WKDWT,sale,Journal WO Reguler DWT,,,,
journal_wo_reg_branch_dwr,wtc_branch.branch_dwr,WKDWR,sale,Journal WO Reguler DWR,,,,
journal_wo_reg_branch_dwp,wtc_branch.branch_dwp,WKDWP,sale,Journal WO Reguler DWP,,,,
journal_wo_reg_branch_dwo,wtc_branch.branch_dwo,WKDWO,sale,Journal WO Reguler DWO,,,,
journal_wo_reg_branch_dwk,wtc_branch.branch_dwk,WKDWK,sale,Journal WO Reguler DWK,,,,
journal_wo_reg_branch_dws,wtc_branch.branch_dws,WKDWS,sale,Journal WO Reguler DWS,,,,
journal_wo_reg_branch_dwg,wtc_branch.branch_dwg,WKDWG,sale,Journal WO Reguler DWG,,,,
journal_wo_reg_branch_dwm,wtc_branch.branch_dwm,WKDWM,sale,Journal WO Reguler DWM,,,,
journal_wo_reg_branch_dwn,wtc_branch.branch_dwn,WKDWN,sale,Journal WO Reguler DWN,,,,
journal_wo_reg_branch_ddu,wtc_branch.branch_ddu,WKDDU,sale,Journal WO Reguler DDU,,,,
