"id","code","name","parent_id/id","smcus_laba_rugi","smcus_zhr_report","smcus_zhr_cash_flow/id"
"__export__.account_account_1338","610405","BIAYA SEWA KANTOR","__export__.account_account_1333","False","Laba Rugi (Pengeluaran Operasional)","smcus_account_report_zhr.14"
"__export__.account_account_1339","610406","BIAYA LISTRIK KANTOR","__export__.account_account_1333","False","Laba Rugi (Pengeluaran Operasional)","smcus_account_report_zhr.14"
"__export__.account_account_1340","610407","BIAYA PAM KANTOR","__export__.account_account_1333","False","Laba Rugi (Pengeluaran Operasional)","smcus_account_report_zhr.14"
"__export__.account_account_1341","610408","PAJAK BUMI & BANGUNAN","__export__.account_account_1333","False","Laba Rugi (Pengeluaran Operasional)","smcus_account_report_zhr.14"
"__export__.account_account_1342","6105","BIAYA LAIN - LAIN","__export__.account_account_61","False","Laba Rugi (Pengeluaran Lain)",
"__export__.account_account_1343","610501","RUGI PENJUALAN AKTIVA TETAP","__export__.account_account_1342","False","Laba Rugi (Pengeluaran Lain)","smcus_account_report_zhr.16"
"__export__.account_account_1344","610502","BUNGA PINJAMAN BANK","__export__.account_account_1342","False","Laba Rugi (Pengeluaran Lain)","smcus_account_report_zhr.16"
"__export__.account_account_1345","610503","BIAYA SELISIH KURS","__export__.account_account_1342","False","Laba Rugi (Pengeluaran Lain)","smcus_account_report_zhr.16"
"__export__.account_account_1346","610504","BIAYA PAJAK YANG DIBAYAR PERUSAHAAN","__export__.account_account_1342","False","Laba Rugi (Pengeluaran Lain)","smcus_account_report_zhr.16"
"__export__.account_account_71","71","PENDAPATAN DILUAR USAHA","__export__.account_account_17","False","N/A",
"__export__.account_account_7101","7101","PENDAPATAN LAIN-LAIN","__export__.account_account_71","False","Laba Rugi (Pendapatan Lain)",
"__export__.account_account_710101","710101","PENDAPATAN JASA GIRO","__export__.account_account_7101","False","Laba Rugi (Pendapatan Lain)","smcus_account_report_zhr.15"
"__export__.account_account_710102","710102","PENDAPATAN SEWA","__export__.account_account_7101","False","Laba Rugi (Pendapatan Lain)","smcus_account_report_zhr.15"
"__export__.account_account_710103","710103","BUNGA DEPOSITO","__export__.account_account_7101","False","Laba Rugi (Pendapatan Lain)","smcus_account_report_zhr.15"
"__export__.account_account_710104","710104","LABA PENJUALAN AKTIVA TETAP","__export__.account_account_7101","False","Laba Rugi (Pendapatan Lain)","smcus_account_report_zhr.15"
"__export__.account_account_710105","710105","PENDAPATAN SELISIH KURS","__export__.account_account_7101","False","Laba Rugi (Pendapatan Lain)","smcus_account_report_zhr.15"
"__export__.account_account_710106","710106","PENDAPATAN LAIN-LAIN","__export__.account_account_7101","False","Laba Rugi (Pendapatan Lain)","smcus_account_report_zhr.15"
